,1_no,gender,elder,D23,difficulties,help_needed,full_time,neet,vehicle,pb,1_sc5,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
686,101,0.0,0.0,1.0,1,0,0.0,0.0,1.0,0.0,2,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,101,0.0,0.0,1.0,1,0,0.0,0.0,1.0,0.0,2,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921,102,1.0,0.0,0.0,1,0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401,102,1.0,0.0,0.0,1,0,0.0,0.0,1.0,1.0,3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,102,1.0,0.0,0.0,1,0,0.0,0.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,102,1.0,0.0,0.0,1,0,0.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
102,103,1.0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,103,1.0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
922,104,1.0,0.0,1.0,1,0,1.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,104,1.0,0.0,1.0,1,0,1.0,0.0,0.0,1.0,1,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
403,104,1.0,0.0,1.0,1,0,1.0,0.0,0.0,1.0,1,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
688,104,1.0,0.0,1.0,1,0,1.0,0.0,0.0,1.0,1,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
923,105,0.0,0.0,1.0,1,0,0.0,1.0,1.0,0.0,1,0.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
104,105,0.0,0.0,1.0,1,0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
689,105,0.0,0.0,1.0,1,0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
404,105,0.0,0.0,1.0,1,0,0.0,1.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
405,106,1.0,0.0,1.0,1,0,1.0,0.0,1.0,1.0,3,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,106,1.0,0.0,1.0,1,0,1.0,0.0,1.0,1.0,3,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
105,106,1.0,0.0,1.0,1,0,1.0,0.0,1.0,1.0,3,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
691,107,0.0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,2,1.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,6.0,0.0,0.0,0.0
406,107,0.0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,2,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,107,0.0,0.0,0.0,1,0,0.0,1.0,1.0,0.0,2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
